Objective,ID,Classification,Bucket,Core Tags,Supplementary Tags,Restrictions,Selection Count,Selection Frequency
Use a Tier 6 summon (or higher) in battle,181,23,B,"Summon, Battle, Djinn_c, Collect_s",,"174, 175, 176, 177, 178, 179, 180, 49, 233",664,6.6%
"Have someone be a Ranger (Me, J, Ma)",280,12,C,"Djinn_c, Class",,"76, 77, 78, 79, 70, 81, 82, 277, 278, 279, 184",663,6.6%
Burst a Moai in Magma Rock,150,18,E,"Western Sea, Lift, Burst","Magma Rock, Gondowan","170, 190, 228, 282",662,6.6%
Forge with Sylph Feather,56,7,B,"Shopping, Forge",,"53, 54, 55, 57, 58, 59, 60, 74, 223, 276",660,6.6%
Have an Enchanter and a Savage in the party simultaneously.,82,12,C,"Djinn_c, Class",,"80, 81, 79, 211, 212, 77, 277, 278, 279, 280, 75, 76",660,6.6%
Forge with Orihalcon,57,7,B,"Shopping, Forge",,"53, 54, 55, 56, 58, 59, 60, 74, 223, 276",657,6.6%
Forge with Mythril Silver,59,7,B,"Shopping, Forge",,"53, 54, 55, 56, 57, 58, 60, 74, 223, 163, 276",647,6.5%
Forge with a Star Dust,223,7,B,Forge,,"53, 54, 55, 56, 57, 58, 59, 74",646,6.5%
Have a Savage and a Scholar in the party simultaneously.,211,12,C,"Djinn_c, Class",,"80, 81, 82, 79, 212, 75, 76, 277, 278, 279, 280",643,6.4%
"""Open"" 3 Elemental Rocks",144,17,E,"Exploration, Lift, Whirlwind, Douse","Whirlwind, Douse, Dancing Idol, Lift","282, 283, 284",638,6.4%
Befriend 7 Venus Djinn,75,12,C,Djinn_c,,"76, 77, 78, 183, 83, 84, 85, 80, 211, 82, 279, 277, 278",638,6.4%
Befriend 7 Mercury Djinn,78,12,C,Djinn_c,,"76, 77, 75, 183, 92, 93, 94, 81, 212, 79, 211, 278, 279, 280",631,6.3%
Befriend 7 Jupiter Djinn,77,12,C,Djinn_c,,"76, 75, 78, 183, 89, 90, 91, 82, 212, 80, 211, 277, 279, 280",618,6.2%
Find all female Adepts,248,9,B,Character,Exploration,"247, 249, 250, 261, 262, 263, 264, 265, 240, 246, 265, 11, 241, 248, 265, 10, 242, 247",584,5.8%
"Assemble the ""Trident"" (no need to collect it)",266,25,F,"Lash, Pound, Burst, Item_c, RareItem",,205,579,5.8%
Fire an Arrow in Jupiter Lighthouse,191,24,F,"Western Sea, Cyclone, Hover, Collect_s, RareItem","Pound, Jupiter, Atteka","148, 192, 200, 255, 258, 95",579,5.8%
Scoop the Loho Mythril Silver,163,20,E,"Western Sea, Lift, Scoop, Magma Ball, Collect_l","Loho, Angara",,569,5.7%
Find all Adepts from Vale,247,9,B,Character,Exploration,"248, 249, 250, 261, 262, 263, 264, 265, 237, 243, 249, 10, 242, 247, 248, 238, 244, 249",568,5.7%
Befriend the Shaman Village Cave djinn,167,20,E,"Whirlwind, Frost, Lift, Western Sea, Djinn_l","Shaman Village, Hesperia",114,567,5.7%
Swing across 2 different metal chains,168,22,F,"Western Sea, Whirlwind, Exploration, Cyclone, Hover, RareItem, Reveal","Cyclone, Hover, Lift, Growth, Burst",26,567,5.7%
Find all adepts not from Vale,265,9,B,Character,Exploration,"247, 248, 249, 250, 261, 262, 263, 264, 12, 187, 249, 11, 241, 248, 240, 246, 248, 239, 245, 249",536,5.4%
Find all male Adepts,249,9,B,Character,Exploration,"247, 248, 250, 261, 262, 263, 264, 265, 237, 243, 247, 238, 244, 247, 239, 245, 265, 12, 187, 265",530,5.3%
Collect the Izumo Summon Tablet item,166,22,F,"Reveal, Pound, Sand, Parch, Frost, Collect_l","Izumo, Nihan",,527,5.3%
Obtain the Scoop item in Yampi Desert Cave,193,24,F,"Teleport, Burst, Scoop, Sand, Collect_l","Yampi, Osenia",196,518,5.2%
Give Piers 6 Djinn,187,9,B,"Djinn_c, Character",,"9, 10, 11, 12, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249",512,5.1%
Collect the Sol Blade chest (Mars LH ice puzzle item),194,25,F,"Teleport, Grind, Burst, Blaze, Pound, Collect_l, RarePsy","Mars, Northern Reaches",171,511,5.1%
Befriend the Yampi Desert Cave Djinn,196,25,F,"Teleport, Sand, Scoop, Burst, Battle, Djinn_l","Yampi, Osenia","193, 225",494,4.9%
Befriend the Mars Lighthouse djinn in the ice puzzle,197,25,F,"Western Sea, Magma Ball, Grind, Burst, Pound, Blaze, Djinn_l, Battle, RarePsy","Mars, Northern Reaches",,484,4.8%
Burst the wall at the top of Tundaria,213,22,F,"Parch, Pound, Reveal, Burst",,"106, 119, 121, 146, 270, 281",479,4.8%
Reach the last room of Taopo Swamp,172,22,F,"Whirlwind, Frost, Douse, Tremor, Exploration, RarePsy","Taopo, Osenia","161, 190",465,4.7%
Get blasted off of a wall by a fireball,228,20,E,"Lift, Burst, Growth, Lash","Magma Rock, Gondowan","170, 190, 150, 282",448,4.5%
Open the entrance at Magma Rock Summit ,282,20,E,"Lift, Burst, Growth, Lash",,"144, 283, 170, 150",421,4.2%
Talk to all hint NPCs,236,24,F,"Grind, Magma Ball, Whirlwind, Lash, Reveal, Pound, Scoop",Exploration,,411,4.1%
Clear Jupiter Lighthouse,200,25,F,"Western Sea, Hover, Cyclone, Pound, Reveal, Collect_s, Exploration","Jupiter, Atteka","148, 191, 192, 255, 258, 95",397,4.0%
Befriend the Islet Cave djinn in the corridor,198,25,F,"Turtle, Mind Read, Teleport, Tremor, Battle, Djinn_l, RarePsy",Islands,"256, 153",394,3.9%
Climb the Lash rope in the Blue Door side of Jupiter Lighthouse,192,24,F,"Western Sea, Cyclone, Hover, Lash, RareItem","Jupiter, Atteka, RopeClimb","148, 191, 201, 122, 123, 124, 125, 126, 127, 255",352,3.5%
Reach the end of Gabomba Catacombs,195,25,F,"Gabomba, Cyclone, Scoop, Lash, Pound, Frost, Reveal, Collect_l","Kibombo, Gondowan","124, 140, 165, 271",290,2.9%
Enter the Magma Rock Tablet Room,170,22,F,"Western Sea, Lift, Growth, Burst, Whirlwind, Collect_l","Magma Rock, Gondowan","150, 190, 228, 282",287,2.9%
Befriend the Trial Road djinn,199,25,F,"Western Sea, Whirlwind, Shamans Rod, Hover, Lift, Reveal, Battle, Djinn_l","Shaman Village, Hesperia","202, 114, 257, 131, 125, 250, 285",268,2.7%
